Id,MSSubClass,LotArea,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF2,TotalBsmtSF,SalePrice,Age,Remodeled,TotalRooms,ZoningLotInteraction,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing
10,20,11200.0,5,1965,1965,0.0,985.504356360643,129500.0,59,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,60,11924.0,5,2005,2006,0.0,1027.2776752042394,345000.0,19,1,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,20,12968.0,6,1962,1962,0.0,956.1200739748083,144000.0,62,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,20,10652.0,5,2006,2007,0.0,1458.8289060861646,279500.0,18,1,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,20,10920.0,5,1960,1960,0.0,1288.8339130725242,157000.0,64,0,10,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,45,6120.0,8,1929,2001,0.0,796.3202677555475,132000.0,95,1,12,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,20,11241.0,7,1970,1970,0.0,870.6751740176474,149000.0,54,0,11,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,90,10791.0,5,1967,1967,0.0,0.0,90000.0,57,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,20,13695.0,5,2004,2004,0.0,1196.0748139561372,159000.0,20,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,20,7560.0,6,1958,1965,0.0,970.6597156155713,139000.0,66,1,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,60,14215.0,5,2005,2006,0.0,1166.0804329231607,325300.0,19,1,8,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,45,7449.0,7,1930,1950,0.0,703.3766410774791,139400.0,94,1,15,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,20,9742.0,5,2002,2002,0.0,1695.784287717252,230000.0,22,0,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,120,4224.0,7,1976,1976,0.0,1008.6040114601826,129900.0,48,0,15,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,20,8246.0,8,1968,2001,668.0,1085.8250450007815,154000.0,56,1,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,20,14230.0,5,2007,2007,0.0,1494.1063394473517,256300.0,17,0,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,20,7200.0,7,1951,2000,486.0,977.138279728832,134800.0,73,1,16,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,20,11478.0,5,2007,2008,0.0,1675.2193070356125,306000.0,17,1,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,20,16321.0,6,1957,1997,0.0,1367.6490761508942,207500.0,67,1,12,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,30,6324.0,6,1927,1950,0.0,551.6492191534477,68500.0,97,1,15,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,70,,4,1920,1950,0.0,574.8757208519056,40000.0,104,1,11,C (all)_Inside,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,20,8544.0,6,1966,2006,0.0,1475.4270873060534,149350.0,58,1,10,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,20,,5,2007,2007,0.0,1429.280051265797,179900.0,17,0,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,20,10552.0,5,1959,1959,0.0,1469.786667673558,165500.0,65,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,120,7313.0,5,2005,2005,0.0,1628.0185725060867,277500.0,19,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,60,13418.0,5,2004,2005,0.0,1159.7187063704157,309000.0,20,1,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,20,10859.0,5,1994,1995,0.0,1043.3463019846959,145000.0,30,1,11,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,20,8532.0,6,1954,1990,0.0,1335.5610610448052,153000.0,70,1,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,20,7922.0,7,1953,2007,0.0,959.4248830746054,109000.0,71,1,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,90,6040.0,5,1955,1955,0.0,0.0,82000.0,69,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,8658.0,5,1965,1965,0.0,1182.4217474018049,160000.0,59,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,20,16905.0,6,1959,1959,0.0,1298.95837636725,170000.0,65,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,85,9180.0,7,1983,1983,93.0,790.0114492910036,144000.0,41,0,13,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,20,9200.0,6,1975,1980,491.0,824.2696550880261,130250.0,49,1,12,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,20,,6,1959,1959,506.0,1317.6648518600546,141000.0,65,0,15,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,120,,5,2005,2005,0.0,1661.6556612708446,319900.0,19,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,50,12822.0,5,2003,2003,0.0,1405.5008222352162,239686.0,21,0,10,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,20,11096.0,5,2006,2006,0.0,1705.705764875292,249700.0,18,0,9,FV_Inside,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,190,4456.0,5,1920,2008,0.0,756.7704825166992,113000.0,104,1,13,RM_Inside,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,20,7742.0,7,1966,1966,0.0,1026.2964891375423,127000.0,58,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,60,13869.0,6,1997,1997,0.0,763.8812043648367,177000.0,27,0,10,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,50,,6,1934,1950,0.0,723.0846962207735,114500.0,90,1,10,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,90,8472.0,5,1963,1963,712.0,708.8049107878591,110000.0,61,0,10,RM_Corner,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,20,50271.0,5,1981,1987,0.0,1735.3011861103478,385000.0,43,1,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,80,7134.0,5,1955,1955,0.0,347.44894177249444,130000.0,69,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,20,10175.0,5,1964,1964,0.0,1381.7346194936445,180500.0,60,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,160,,5,1999,2000,0.0,1096.8351446437182,172500.0,25,1,13,FV_Inside,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,60,11645.0,5,2004,2004,0.0,827.5540742940027,196500.0,20,0,10,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,60,13682.0,5,2006,2006,0.0,1356.7512285518276,438780.0,18,0,14,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,20,7200.0,7,1972,1972,0.0,778.7208954520485,124900.0,52,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,20,13072.0,5,2004,2004,0.0,1111.0286260176426,158000.0,20,0,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,75,7200.0,7,1920,1996,0.0,526.4282645069358,101000.0,104,1,16,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,120,6442.0,5,2006,2006,0.0,1444.0990834799445,202500.0,18,0,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,70,,6,1921,1950,0.0,626.9616607543669,140000.0,103,1,10,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,60,9375.0,5,1997,1998,0.0,1163.0396352124149,219500.0,27,1,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,60,9591.0,5,2004,2005,0.0,1378.0982088295555,317000.0,20,1,9,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,20,19900.0,5,1970,1989,0.0,2057.8542841697736,180000.0,54,1,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,20,,5,2003,2003,0.0,1777.6697843660547,226000.0,21,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,30,4608.0,6,1945,1950,0.0,688.9968089379447,80000.0,79,1,14,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,50,15593.0,4,1953,1953,0.0,1576.7035512761659,225000.0,71,0,11,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,20,,6,1973,1973,0.0,2138.4424031469853,244000.0,51,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,20,7599.0,6,1982,2006,0.0,821.1694003505235,129500.0,42,1,10,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,60,10141.0,5,1998,1998,0.0,822.0266040544169,185000.0,26,0,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,20,,7,1954,2003,362.0,1062.2577907681618,144900.0,70,1,16,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,50,5790.0,6,1915,1950,0.0,847.2105933250263,107400.0,109,1,10,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,180,1596.0,5,1973,1973,0.0,435.2027062850341,91000.0,51,0,13,RM_Inside,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,20,8475.0,7,1956,1956,0.0,1031.0123988763946,135750.0,68,0,15,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,50,8635.0,5,1948,2001,41.0,634.8494856734567,127000.0,76,1,10,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,90,10778.0,5,1968,1968,0.0,1883.9119184111112,136500.0,56,0,11,RL_Inside,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,50,10440.0,6,1910,1981,0.0,507.21983925904567,110000.0,114,1,15,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,60,,6,1968,1968,0.0,864.0036276652265,193500.0,56,0,10,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,120,4500.0,5,1998,1998,0.0,1335.2652288040242,153500.0,26,0,8,RM_FR2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,20,10206.0,5,2007,2007,0.0,1650.3965968555679,245000.0,17,0,9,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,20,8892.0,5,1960,1960,0.0,1304.9324529564033,126500.0,64,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,80,8530.0,5,1995,1996,0.0,364.6145063099539,168500.0,29,1,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,60,16059.0,5,1991,1992,0.0,1390.405224244585,260000.0,33,1,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,60,11911.0,5,2005,2005,0.0,572.7808413224838,174000.0,19,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,160,3951.0,5,2009,2009,0.0,581.653465262907,164500.0,15,0,11,FV_Corner,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,50,8470.0,2,1915,1982,0.0,1048.7986944485667,85000.0,109,1,5,C (all)_Corner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,20,8070.0,5,1994,1995,0.0,1127.9228369398884,123600.0,30,1,9,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,20,7200.0,5,1950,1950,0.0,0.0,109900.0,74,0,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,20,8500.0,3,1961,1961,0.0,1332.082194131527,98600.0,63,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,30,13360.0,7,1921,2006,0.0,870.4616252120928,163500.0,103,1,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,190,,6,1910,1998,0.0,1029.2865428781733,133900.0,114,1,10,C (all)_Corner,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,60,9337.0,5,1997,1997,0.0,838.9627561061803,204750.0,27,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
95,60,9765.0,8,1993,1993,0.0,796.2229638425184,185000.0,31,0,16,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,20,10264.0,5,1999,1999,0.0,1410.0768816060352,214000.0,25,0,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,20,10921.0,5,1965,1965,0.0,949.4459793244624,94750.0,59,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,30,10625.0,5,1920,1950,0.0,412.81193450350787,83000.0,104,1,12,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,20,9320.0,5,1959,1959,0.0,905.4846214685485,128950.0,65,0,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,20,10603.0,7,1977,2001,0.0,1840.5793931074659,205000.0,47,1,13,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,60,9206.0,5,1985,1985,0.0,720.8800363660886,178000.0,39,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,90,,5,1979,1979,0.0,0.0,118964.0,45,0,14,RL_Inside,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103,20,10402.0,5,2009,2009,0.0,1361.9700262764125,198900.0,15,0,13,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,50,7758.0,4,1931,1950,0.0,1002.2752569976174,169500.0,93,1,8,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,60,9375.0,5,2003,2004,0.0,1000.0762767981637,250000.0,21,1,14,FV_Inside,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,30,10800.0,7,1885,1995,0.0,583.5664764831904,100000.0,139,1,13,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,20,6000.0,5,1948,1950,169.0,715.5534737781404,115000.0,76,1,13,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,50,8500.0,7,1919,2005,0.0,821.009346384472,115000.0,105,1,11,RM_Corner,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,20,11751.0,6,1977,1977,0.0,1840.3515878743603,190000.0,47,0,9,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,50,9525.0,4,1954,1972,0.0,932.0136197680368,136900.0,70,1,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,80,7750.0,5,2000,2000,0.0,324.5275037904661,180000.0,24,0,10,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,60,9965.0,5,2007,2007,0.0,1277.4209962527275,383970.0,17,0,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,20,21000.0,5,1953,1953,869.0,1724.0580108078047,217000.0,71,0,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,70,7259.0,8,1945,2002,150.0,1007.9233968941608,259500.0,79,1,11,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,160,3230.0,5,1999,1999,0.0,751.2098473120901,176000.0,25,0,13,FV_Corner,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,20,11616.0,5,1962,1962,670.0,818.8031275364453,139000.0,62,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,20,8536.0,5,2006,2007,0.0,952.5066070827235,155000.0,18,1,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,60,12376.0,5,1990,1990,0.0,2057.194926749508,320000.0,34,0,9,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
119,60,8461.0,5,2005,2006,0.0,691.1187551122679,163990.0,19,1,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,80,21453.0,5,1969,1969,0.0,701.8647749951117,180000.0,55,0,14,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,50,6060.0,5,1939,1950,0.0,625.8643788594103,100000.0,85,1,13,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,20,9464.0,7,1958,1958,0.0,1348.3224758132749,136000.0,66,0,14,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,120,7892.0,5,1993,1993,0.0,1114.710604513646,153900.0,31,0,12,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,20,,5,1979,1998,0.0,1519.8578763549926,181000.0,45,1,14,RL_CulDSac,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,190,6780.0,8,1935,1982,0.0,526.2981359135347,84500.0,89,1,14,RM_Inside,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,120,4928.0,5,1976,1976,0.0,1025.720553357611,128000.0,48,0,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127,45,4388.0,7,1930,1950,0.0,724.1099356352798,87000.0,94,1,15,RM_Inside,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,60,7590.0,5,1966,1966,0.0,502.63245942648496,155000.0,58,0,8,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,20,8973.0,7,1958,1991,28.0,862.7338319184544,150000.0,66,1,14,RL_Inside,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,60,14200.0,6,1966,1966,0.0,878.5067664783046,226000.0,58,0,14,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,60,12224.0,5,2000,2000,0.0,858.7838836916549,244000.0,24,0,14,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,20,7388.0,6,1959,2002,0.0,1001.2633210820278,150750.0,65,1,15,RL_Corner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
